#{"t_start": 1779876392.4609413, "env_id": "None"}
r,l,t
-88.679737,200,0.881519
-82.338354,200,1.32926
-77.807682,200,1.726985
-70.76496,200,2.111393
-49.114348,200,2.506776
-39.551424,200,2.871013
-69.909673,200,3.986684
-84.549962,200,4.392348
-107.616354,200,4.786612
-75.212045,200,5.194319
-65.528205,200,12.251998
-59.714602,200,12.718827
-47.456195,200,13.816399
-66.630513,200,14.219157
-65.041807,200,14.617259
-29.665195,200,14.943035
-63.832019,200,15.334289
-59.141688,200,15.785596
-41.142072,200,16.957201
-64.180529,200,17.293653
-88.999784,200,20.716218
-24.140786,200,21.145769
-67.797147,200,21.544189
-69.288544,200,21.914343
-90.593023,200,22.28557
-66.824762,200,23.359088
-56.604047,200,23.728701
-55.489403,200,24.101048
-68.638689,200,24.490658
-67.059147,200,24.97623
-81.773019,200,28.46367
-50.900483,200,29.664996
-61.008428,200,30.109555
-74.522227,200,30.497489
-84.179007,200,30.906192
-37.142527,200,31.255008
-84.745613,200,31.714429
-33.006987,200,32.878466
-85.139593,200,33.342371
-64.257051,200,33.699557
-50.518747,200,37.211651
-64.632987,200,37.618942
-80.049214,200,37.995093
-93.425902,200,39.099728
-70.255846,200,39.541014
-69.435744,200,39.909889
-45.940346,200,40.360579
-81.276936,200,40.79146
-82.552682,200,41.24368
-56.193652,200,41.672273
-72.299498,200,46.388604
-27.955778,200,49.940343
-55.001148,200,50.320311
-68.529382,200,50.673457
-83.460858,200,51.005686
-70.260838,200,51.429115
-37.649288,200,52.570335
-58.853884,200,53.005181
-62.116075,200,53.406787
9.956523,1,53.408967
-51.092574,200,53.798973
-65.813798,200,54.207852
-53.024947,200,57.709203
-36.687514,200,58.834344
-78.02759,200,59.241133
-90.824966,200,59.614161
-29.816167,200,60.048404
-57.807223,200,60.47397
-75.710612,200,60.952245
-60.309701,200,62.087749
-66.292081,200,62.500501
-83.555341,200,62.931314
-61.547604,200,66.396671
-50.522898,200,66.736777
-59.388827,200,67.184222
-30.603694,200,68.285957
-76.795183,200,68.714249
-78.227863,200,69.148303
-46.695003,200,69.516136
