#{"t_start": 1779876392.8208518, "env_id": "None"}
r,l,t
-46.677358,200,0.52336
-77.35595,200,0.971884
-87.185734,200,1.368718
-42.592326,200,1.753381
-57.197772,200,2.149248
-79.132772,200,2.512841
-83.87243,200,3.628796
-78.96634,200,4.034084
-77.42117,200,4.428317
-83.304325,200,4.836855
-56.178575,200,11.894639
-29.14968,200,12.360623
-79.245164,200,13.458253
-58.909153,200,13.861748
-73.058687,200,14.258982
-55.106493,200,14.584776
-64.756368,200,14.975992
-40.092164,200,15.429183
-71.512495,200,16.598868
-85.103173,200,16.935336
-70.21388,200,20.357879
-90.2227,200,20.788375
-48.127712,200,21.186754
-54.974809,200,21.556881
-47.444794,200,21.928125
-57.081708,200,23.000789
-86.012299,200,23.370377
-61.152362,200,23.742733
-33.818152,200,24.132477
-65.828702,200,24.617956
-62.525787,200,28.106869
-57.749271,200,29.307532
-59.172839,200,29.751497
-66.722393,200,30.139408
-53.242736,200,30.547893
-69.62212,200,30.897259
-50.24272,200,31.356874
-36.542442,200,32.520545
-57.784316,200,32.984988
-71.550625,200,33.341251
-72.683263,200,36.853332
-90.548506,200,37.261343
-87.420343,200,37.636775
9.950132,1,37.638848
-49.583713,200,38.743234
-65.509438,200,39.184714
-61.529279,200,39.554664
-88.476414,200,40.006174
6.384927,54,40.143181
-45.468547,200,40.53771
-101.973527,200,40.991041
-66.196827,200,45.746841
-25.544973,200,49.280586
-57.236047,200,49.685473
-81.814215,200,50.048177
-25.680661,200,50.40403
-80.955723,200,50.76123
-39.460643,200,51.895833
-80.440856,200,52.339886
-74.592419,200,52.77906
-79.200321,200,53.142374
-34.630878,200,53.53945
-67.769736,200,53.970576
-41.839704,200,57.438766
-41.814102,200,58.564421
-32.616339,200,59.006882
-52.305974,200,59.361699
-70.087071,200,59.790406
-21.710466,200,60.225753
-44.60671,200,60.692977
-53.957929,200,61.866169
-45.672944,200,62.249288
-42.881454,200,62.66096
-50.834332,200,66.126526
-75.501212,200,66.490394
-71.681564,200,66.933084
-41.445839,200,68.065471
-50.362076,200,68.49612
-29.173137,200,68.887664
-77.182368,200,69.267848
-44.897503,200,69.66036
-51.041204,200,70.117074
-53.867796,200,71.198765
-37.890171,200,74.683073
-34.611563,200,75.094159
-63.934874,200,75.497931
-69.057605,200,75.882762
-31.235829,200,76.297805
-79.32453,200,76.694465
-36.723504,200,81.455771
-42.763635,200,81.832744
-68.927922,200,82.264355
-57.901313,200,82.697652
-71.408015,200,86.094582
-44.000616,200,86.470216
-53.080205,200,87.586371
-68.676461,200,88.00405
-42.052535,200,88.386478
-26.377315,200,88.790174
-26.475011,200,89.178114
-68.458855,200,89.632339
-46.589646,200,90.70162
-40.042715,200,91.081318
-33.956494,200,91.510208
-21.515616,200,95.034869
-51.150329,200,95.398998
-41.150778,200,95.786502
-68.883276,200,96.803716
-41.544228,200,97.251792
-41.730671,200,97.600386
-79.529758,200,97.96921
-36.506121,200,98.387435
-50.624768,200,98.880179
-22.122036,200,99.361464
-1.731567,87,103.275954
-22.260013,200,103.668114
-26.500987,200,104.116643
-58.440207,200,104.538864
-53.197343,200,104.924637
-63.146414,200,105.327495
-30.168601,200,105.78346
-71.719177,200,106.852335
-10.040353,177,107.216411
-6.118243,139,107.468919
-30.476158,200,107.896213
-36.852808,200,111.459382
-34.702911,200,111.920006
-45.621389,200,112.938582
2.790506,68,113.049413
-1.518744,123,113.290252
-52.562101,200,117.34274
-79.321827,200,117.727173
-32.738042,200,118.139974
3.463308,84,118.312472
-56.807769,200,118.806699
3.821093,61,118.964506
-43.944635,200,119.827419
-50.351181,200,120.179338
-35.122495,200,123.664392
-46.719537,200,124.040543
-57.008894,200,124.427214
-44.336553,200,124.886827
-57.507791,200,125.784286
-5.142076,108,126.018368
-62.545818,200,126.434014
-68.255483,200,126.880266
-54.653705,200,127.239878
-4.952068,109,127.440234
-4.795507,114,127.659371
-68.501031,200,131.185349
-43.598265,200,132.18103
-11.534408,162,132.497742
-39.571203,200,132.85987
-37.764966,200,133.248521
-27.12243,200,133.677317
-5.302146,97,133.869895
-19.594227,200,134.27791
-42.476608,200,135.162458
-12.207417,145,135.416182
-34.130362,200,135.811347
-41.592668,200,139.288597
-11.729016,160,139.707778
3.784338,71,139.826951
-9.874424,144,140.099869
2.970517,75,140.240366
-5.053558,93,140.819238
-21.00224,175,141.187651
-0.271467,72,141.360966
-0.203227,96,141.566698
-6.233298,114,141.794823
-42.000404,200,142.191805
-37.508204,200,142.567621
-57.865275,200,142.957509
-24.564248,180,143.722555
-33.740915,200,144.12122
-6.814095,119,147.458457
2.888687,77,147.627739
2.76743,56,147.758383
7.438775,33,147.815569
-19.5305,178,148.173021
3.316049,51,148.281594
-46.464229,200,148.715517
-22.431047,173,149.035029
-0.935674,102,149.230793
-2.446798,95,153.420189
-43.539742,200,153.816005
-34.088512,200,154.235943
-11.093174,120,154.465252
-5.995768,111,154.660169
-5.603608,120,154.937443
-6.05014,111,155.141557
-7.282271,110,155.333115
-15.560079,163,158.811547
-23.856476,200,159.665342
-4.634797,118,159.921096
-15.998232,159,160.22739
-34.292944,200,160.603076
-14.049936,142,160.920942
-22.128661,168,161.210369
-21.695146,179,161.555297
-21.774065,185,162.357852
-45.823749,200,162.76154
-30.267432,187,163.145204
1.610978,77,163.297085
-9.656491,122,166.644912
8.972468,14,166.666775
-18.999533,175,166.985834
-31.214138,199,167.432356
-42.263486,200,167.805149
-18.742651,167,168.640097
-16.753188,161,169.048885
9.659405,6,169.065791
7.468026,29,169.123959
9.967309,1,169.12556
-6.767132,119,169.340993
-16.754761,153,169.637279
1.554652,63,169.771901
-27.745688,174,170.088216
-14.289953,135,170.369017
-33.169967,200,170.766348
-16.981235,172,171.439914
