#{"t_start": 1779876392.7600288, "env_id": "None"}
r,l,t
-33.370361,200,0.583925
-62.049683,200,1.032417
-52.323514,200,1.429259
-74.250589,200,1.813911
-72.015784,200,2.209807
-35.208419,200,2.573314
-95.912103,200,3.689276
-68.480865,200,4.094643
-49.525055,200,4.488863
-38.717663,200,4.897355
-94.446746,200,11.955163
-58.392683,200,12.421185
-87.693547,200,13.51872
-69.671079,200,13.92222
-64.585729,200,14.319517
-102.790705,200,14.645293
-61.766143,200,15.036518
-81.022783,200,15.489736
-107.229255,200,16.659437
-42.353284,200,16.995903
-77.412863,200,20.418445
-56.137608,200,20.848877
-86.179416,200,21.247291
-70.664376,200,21.617438
-54.17415,200,21.988644
-50.345152,200,23.061347
-70.274412,200,23.43094
-39.39483,200,23.803298
-28.5551,200,24.192982
-70.617903,200,24.678519
-84.365502,200,28.167352
-76.758794,200,29.368083
-80.014472,200,29.812055
-34.837855,200,30.199963
-74.332668,200,30.608436
-42.998411,200,30.95778
-79.921257,200,31.417257
-41.035432,200,32.580921
-37.082319,200,33.045503
-82.691296,200,33.401797
-55.432499,200,36.913879
-39.047908,200,37.321873
-59.885546,200,37.697322
-96.719105,200,38.801861
-72.346402,200,39.243194
-45.55713,200,39.612844
-44.359703,200,40.063555
-62.908044,200,40.493636
-32.240748,200,40.945891
-48.3359,200,41.374805
-57.671911,200,46.090678
-65.052074,200,49.643116
-59.651857,200,50.022422
-74.48229,200,50.375505
-61.52496,200,50.707747
-49.656458,200,51.131286
-67.081552,200,52.272354
-67.124502,200,52.707918
-74.559182,200,53.108724
-74.768517,200,53.498735
-21.051127,200,53.907579
-57.844924,200,57.408915
-82.34736,200,58.534115
-80.611641,200,58.940856
-36.696548,200,59.31387
-53.278876,200,59.747197
-99.28624,200,60.173137
-83.414027,200,60.652036
3.168438,59,60.76281
-76.091606,200,61.934479
-40.898342,200,62.318751
-39.774608,200,62.734457
-37.663656,200,66.193854
-23.725832,200,66.557522
-95.057416,200,67.005929
-65.342181,200,68.132704
-52.183021,200,68.563614
-19.951549,200,68.954802
9.64746,6,68.963637
-45.676628,200,69.349868
-52.420529,200,69.737094
-32.297097,200,70.202276
-73.398416,200,71.278586
-35.784899,200,74.759314
-41.248058,200,75.178961
-29.640392,200,75.574686
3.888462,74,75.709358
-80.238692,200,76.11053
-62.482071,200,76.538955
-31.11091,200,81.247939
-57.551217,200,81.685376
-37.225258,200,82.063002
-44.852002,200,82.525158
-58.120168,200,82.928739
-30.666981,200,86.31819
-54.418702,200,86.688743
-73.904218,200,87.827856
-30.688389,200,88.205201
-58.730003,200,88.603192
-80.728818,200,89.015445
-49.920053,200,89.47327
-50.974851,200,89.830908
-49.05193,200,90.904237
-31.709105,200,91.296503
-33.759624,200,94.893599
-32.370191,200,95.23608
-53.5141,200,95.603377
-47.017747,200,95.998534
-76.315451,200,97.009362
-45.0335,200,97.465169
-55.194142,200,97.805701
-39.081738,200,98.183589
-69.404278,200,98.66203
-30.591091,200,99.093322
-54.770578,200,103.331527
-84.749254,200,103.723768
-26.625656,200,104.17254
-44.030593,200,104.59475
-29.672234,200,104.980203
-63.365655,200,105.378405
-0.916035,130,105.677775
-43.256147,200,106.739076
-62.056769,200,107.177011
-59.603092,200,107.549158
-29.639968,200,107.983128
-69.436361,200,111.554628
-11.654169,143,111.847022
-65.22269,200,112.920073
-54.65623,200,113.277025
-27.060425,200,113.697828
1.018372,89,117.48843
-1.701809,93,117.681971
-75.493329,200,118.071687
-18.175753,200,118.525991
-82.707883,200,119.024995
-64.189825,200,119.88792
-83.231823,200,120.239848
-16.242712,179,123.68139
-55.109188,200,124.064217
-58.779957,200,124.430326
-38.815868,200,124.886979
-15.832051,182,125.783207
-22.543945,200,126.180537
-54.032769,200,126.596124
-34.192882,200,127.042435
-73.230335,200,127.38882
5.023712,48,127.480671
-64.892277,200,127.84941
-52.412279,200,131.966961
4.864618,58,132.090179
-22.995116,198,132.510811
-5.075921,145,132.784395
-38.200034,200,133.151174
6.812447,47,133.233642
-44.315581,200,133.677925
-5.326641,120,133.908693
-41.290475,200,134.300137
-18.370532,191,135.184878
-33.1867,200,135.531954
-59.164138,200,135.933641
-2.013764,87,136.098637
-68.892898,200,139.690556
0.624216,112,139.889962
-56.676292,200,140.265826
-4.328274,124,140.90117
-42.158974,200,141.324314
-53.131025,200,141.768405
-2.029537,92,141.941502
-35.723022,200,142.328916
-9.00132,108,142.527119
-18.905625,200,142.931573
-14.03613,139,143.20686
-14.289844,172,143.949152
-9.157593,157,144.254998
-59.758348,200,147.803264
-13.523533,148,148.085531
-16.245493,190,148.488179
-47.238982,200,148.896491
-40.582892,200,149.27992
-52.308528,200,153.691311
-0.337167,94,153.863935
-8.200795,127,154.095421
-14.838765,188,154.506252
-39.391231,200,154.882488
-26.05346,178,155.237818
-24.281575,178,158.755757
2.799574,68,158.865493
-13.670841,152,159.619585
-5.547377,103,159.838136
-9.138147,128,160.113471
-20.903636,200,160.471911
-12.436416,144,160.776498
-42.950512,200,161.15688
-15.063982,136,161.42021
9.020961,14,161.442471
-9.865502,119,161.655077
-4.405888,103,161.885033
8.376983,22,161.942987
-45.932556,200,162.741817
-55.522797,200,163.16042
-4.454596,103,163.365628
-33.676997,197,166.839068
-13.991519,161,167.163234
-19.110661,155,167.506074
-6.407169,111,167.705828
-24.884296,187,168.540728
-5.235857,106,168.823701
-18.10314,165,169.212644
-6.569797,110,169.408119
-0.459856,79,169.551771
1.049915,66,169.687998
-0.173337,77,169.850358
-3.080768,86,170.006735
-21.754618,166,170.350984
-25.12554,174,170.683094
-9.005907,130,170.95231
-25.957369,171,171.634315
