#{"t_start": 1779962335.2121518, "env_id": "None"}
r,l,t
-171.555812,200,2.408778
-165.675088,200,2.874274
-174.632083,200,3.232414
-123.972595,200,3.669236
-173.340998,200,4.155144
-126.356059,200,4.498634
-154.197994,200,6.231712
-138.914475,200,6.733175
-138.031728,200,7.165622
-122.329467,200,7.649309
-164.206984,200,11.111721
-104.854902,200,11.514626
-116.693726,200,13.307196
-133.016792,200,13.732022
-117.072931,200,14.162085
-122.834239,200,14.574357
-150.816118,200,15.041669
-126.480516,200,15.581353
-146.816033,200,20.336047
-143.026006,200,20.838624
-150.967795,200,24.217366
-170.343794,200,24.622421
-121.199904,200,24.992304
-176.505969,200,25.401305
-149.268688,200,25.848637
-101.764141,200,28.039865
-157.881324,200,28.490942
-128.588414,200,28.910307
-153.317214,200,29.346032
-110.351196,200,29.75775
-141.036188,200,33.105155
-145.040593,200,35.006669
-148.915331,200,35.429159
-188.795727,200,35.820359
-109.757028,200,36.243407
-115.72793,199,36.657425
-99.207378,200,37.09609
-93.678837,200,38.969176
-112.072832,200,39.357513
-185.307021,200,39.845295
-150.200816,200,43.269736
-133.447366,200,43.706175
-135.641996,200,44.201063
-126.3862,200,46.127195
-128.743571,200,46.528281
-137.482613,200,47.098574
-151.117351,200,47.687615
-129.947734,200,48.128461
-133.614305,200,48.697896
-125.533593,200,49.130556
-160.27543,200,50.817981
-138.850132,200,57.05558
-107.131033,200,57.400675
-155.224921,200,57.897339
-117.520399,200,58.475271
-105.208266,200,58.865705
-97.556192,200,60.690652
-97.096327,196,61.178375
-136.989268,200,61.668343
-180.978793,200,62.315715
-175.449176,200,62.704405
-119.788387,200,66.05895
-141.314488,200,67.989675
-86.424861,200,68.507757
-107.0767,200,68.958188
-113.549559,200,69.371645
-98.800292,200,69.808738
-134.671374,200,70.327364
-124.072289,200,72.113921
-126.193634,200,72.46526
-131.532415,200,72.937276
-145.859474,200,76.307099
-106.658444,200,76.798242
-110.560238,200,77.333526
-115.63155,200,77.834571
-150.129712,200,80.091864
-118.063209,200,80.600453
-117.663827,200,81.074206
-129.309842,200,81.639498
-139.870745,200,82.138135
-132.325327,200,82.590435
-113.574418,200,90.537141
-113.65127,200,91.067828
-89.807898,200,91.541856
-125.107904,200,91.933458
-111.831431,200,92.419209
-82.757173,200,93.020162
-143.411282,200,94.983032
-125.342007,200,95.434596
-108.145953,200,95.918751
-76.284921,200,96.445377
-121.325546,200,96.952314
-98.136863,200,100.244221
-134.158301,200,102.606387
-111.137728,200,103.166533
-99.617416,200,103.787838
-99.924336,200,104.219026
-76.10273,200,104.713393
-125.964171,200,105.374281
-123.548411,200,105.981369
-128.917337,200,108.317563
-123.792846,200,108.702137
-67.775522,200,112.062783
-10.286924,83,112.316602
-54.435426,200,113.001936
-104.027325,200,113.450518
-105.731529,200,115.698647
-82.951309,200,116.164876
-130.478833,200,116.78891
-84.987299,200,117.317089
-123.446079,200,117.803078
-122.065238,200,118.221687
-3.671373,50,118.329019
-120.525892,200,120.534892
-102.079035,200,126.818277
-105.862812,200,127.200303
-103.397955,200,127.656278
-53.652038,200,128.188934
-89.990649,200,128.64394
-105.030436,200,129.116543
-125.647116,200,131.325354
-19.332694,116,131.641656
-89.327001,200,132.04916
-106.064683,200,132.412706
-60.237945,200,136.055358
-68.869976,200,136.66747
-73.116165,200,138.576446
-97.439169,200,139.141737
-82.208172,200,139.714602
-101.69594,200,140.310481
-106.158075,200,140.769333
-87.693059,200,141.239181
-98.449974,200,141.652786
-106.960738,200,143.717769
-112.165379,200,147.193466
-102.158427,200,147.715014
-77.961733,200,148.242331
-96.521129,200,148.68556
4.269206,22,148.738034
-106.712303,200,149.146833
-101.60202,200,151.210542
9.892401,2,151.214015
-90.417762,200,151.640943
-97.563932,200,152.120321
-89.264521,200,152.660609
-68.589822,200,153.129483
-89.373052,200,153.635558
-20.419309,148,161.525256
-67.614691,200,162.065785
-82.31911,200,162.513729
-52.247794,200,163.007216
-52.304635,200,163.440135
-108.925209,200,163.836013
-87.194784,200,165.738549
-96.473452,200,166.217304
-78.423228,200,166.591716
5.746047,30,166.639357
-77.744103,200,167.068871
-64.70911,200,170.456421
-62.61131,200,170.94173
-60.151667,200,171.402814
-68.161697,200,173.250773
-58.896477,200,173.713383
-72.148853,200,174.150076
-86.328258,200,174.620893
-56.251611,200,174.992548
8.985985,11,175.018023
-99.633217,200,175.516476
-64.94725,200,177.312334
-73.681947,200,180.824244
6.572707,14,180.869303
-41.944095,200,181.343131
-54.137372,200,181.720178
-76.932497,200,182.161642
2.067909,39,182.230711
-101.788981,200,182.597411
-82.331079,200,184.701735
-65.477631,200,185.028192
-51.022712,200,185.405005
-62.231693,200,185.795456
-113.820735,200,186.246717
-98.341486,200,189.742236
-61.529337,200,191.554807
6.636126,16,191.584019
-61.119126,200,191.906176
-23.568806,152,192.247603
-52.688046,200,192.763704
-58.802658,200,196.15023
-72.550749,200,196.66711
-18.403581,175,198.339049
-46.851872,200,198.781789
-90.408041,200,199.23014
-90.737564,200,199.619983
7.07377,20,202.697208
-51.835806,200,203.095191
-59.542944,200,203.481723
-66.685884,200,203.948033
-0.070227,37,205.508866
3.19335,30,205.572833
-82.520353,200,206.016169
-1.762813,45,206.112728
-91.79123,200,206.586509
-106.362216,200,207.06289
8.778944,10,207.087841
-97.840976,200,207.595002
-65.959773,200,208.111112
-71.687637,200,209.929978
