#{"t_start": 1779962335.3329432, "env_id": "None"}
r,l,t
-168.984957,200,2.288294
-148.479583,200,2.754189
-123.462522,200,3.112118
-131.342852,200,3.548981
-125.958599,200,4.034708
-147.727887,200,4.378229
-151.060279,200,6.111271
-129.791475,200,6.612928
-176.128357,200,7.045173
-169.782674,200,7.529013
-143.614195,200,10.991363
-162.797182,200,11.394265
-145.455207,200,13.186806
-120.271407,200,13.611518
-161.802183,200,14.041541
-129.786892,200,14.453868
-132.597927,200,14.921269
-125.957284,200,15.461012
-129.840308,200,20.215599
-159.019463,200,20.71809
-150.09828,200,24.097064
-96.134296,200,24.501967
-156.715296,200,24.871804
-127.223443,200,25.28081
-172.539265,200,25.728385
-131.207508,200,27.919731
-134.820913,200,28.370638
-148.8657,200,28.789808
-147.838889,200,29.22573
-159.236417,200,29.637298
-156.916987,200,32.985149
-122.22851,200,34.886378
-143.939752,200,35.308648
-155.15666,200,35.6999
-150.135209,200,36.123193
-143.030601,200,36.54011
-150.062481,200,36.978193
-113.762549,200,38.851352
-169.172211,200,39.239112
-162.885167,200,39.728171
-125.265668,200,43.151278
-114.564316,200,43.587578
-139.755705,200,44.083443
-140.809001,200,46.009537
-99.484842,200,46.409643
-130.12705,200,46.982417
-118.6287,200,47.569736
-154.124508,200,48.01131
-132.210157,200,48.580213
-124.239646,200,49.012116
-70.618136,115,50.564391
-70.830437,156,56.730493
-141.497384,200,57.051898
-162.483818,200,57.493605
-142.422203,200,57.965551
-160.632498,200,58.489077
-120.848924,200,60.232613
-128.567513,200,60.717321
-134.620888,200,61.240805
9.952167,1,61.243063
-138.770684,200,61.838542
-156.762528,200,62.381577
-135.392669,200,62.732687
-117.95164,200,66.085946
-153.082027,200,68.098201
-138.509849,200,68.55721
7.200361,16,68.598934
-109.037885,200,69.03875
-117.526982,200,69.453499
-132.157791,200,69.920367
-140.160857,200,70.435504
-113.469032,200,72.164234
-126.426569,200,72.574067
-129.000928,200,73.000997
-124.066238,200,76.422439
-99.356419,200,76.921152
-152.676275,200,77.469087
-145.292805,200,79.677728
-83.680816,200,80.243326
-111.204855,200,80.673918
-137.011803,200,81.266278
-101.597771,200,81.752123
-112.953088,200,82.253698
-82.286341,200,84.277325
-108.894244,200,90.677051
-155.278296,200,91.162839
-99.264745,200,91.609123
-114.268532,200,92.048481
-124.165234,200,92.605955
-78.178676,200,93.11398
-161.769513,200,95.101414
-125.102785,200,95.524429
-78.005496,200,96.03652
-103.979919,200,96.532756
-87.719097,200,99.932155
-106.140548,200,100.343322
-103.373689,200,102.712276
-73.86481,200,103.341768
-86.480895,200,103.842006
-131.142352,200,104.333091
-102.714682,200,104.920216
-138.60437,200,105.552803
-97.469448,200,107.965333
-100.745931,200,108.362569
-120.345223,200,111.642802
-83.871627,200,112.227391
-130.082332,200,112.905099
-118.140022,200,113.352962
-127.773061,200,115.597243
-119.768462,200,116.070368
-81.836884,200,116.690428
-54.751656,200,117.221896
-55.364419,200,117.706821
-112.059367,200,118.122406
-90.443964,200,118.550805
-53.814947,200,126.609815
-108.69669,200,127.005846
-105.465773,200,127.411146
-91.167404,200,127.971412
-102.498229,200,128.415924
-71.56752,200,128.912225
-90.452325,200,131.054625
-90.549249,200,131.622418
-107.380588,200,132.006161
-92.420114,200,132.369383
-18.648946,119,135.851231
-53.790315,165,136.312596
6.808655,22,136.368979
-102.747668,200,136.907937
-48.026377,200,138.868804
-102.024681,200,139.455087
-81.351549,200,140.046924
-67.956342,200,140.533207
-115.114349,200,141.004275
-118.851202,200,141.412618
-30.591649,128,143.271932
-88.001651,200,143.79192
-79.309794,200,147.297484
-121.53783,200,147.845827
-52.454225,200,148.334868
-2.81956,57,148.434417
-48.017433,200,148.864415
-75.057061,200,150.903232
-105.303665,200,151.321099
-87.879837,200,151.782151
-56.332832,200,152.304634
-75.947724,200,152.789635
-32.548115,148,153.131761
-112.111493,200,156.714672
-37.279159,200,161.737527
-63.39459,200,162.223932
-72.437487,200,162.652876
-101.842554,200,163.120384
-74.156886,200,163.563523
-59.532075,200,163.948555
-54.857759,200,165.878466
-65.534611,200,166.320093
-66.765482,200,166.716375
-49.857392,200,170.040344
-81.701279,200,170.546418
-64.635551,200,171.013203
-61.060231,200,172.84996
7.104379,15,172.891338
-87.434298,200,173.35162
-9.109735,109,173.600368
-32.502953,155,173.912485
-78.140024,200,174.399082
-9.500615,93,174.593247
-72.739471,200,174.996127
-92.921249,200,175.516432
-54.844342,200,177.281883
-71.575014,200,180.809546
-101.407073,200,181.298558
-75.594154,200,181.649329
-77.934711,200,182.086336
-59.884277,200,182.460287
-86.726598,200,184.56103
-34.032994,186,184.868605
2.681298,28,184.912651
-63.958724,200,185.289991
-81.982475,200,185.685172
-74.718213,200,186.13587
-80.335396,200,189.63304
-38.909603,200,191.439384
-113.487186,200,191.755903
-70.095068,200,192.228645
-69.156926,200,192.715544
-55.821008,200,196.104664
-70.400222,200,196.62008
-33.148124,200,198.335458
-61.043503,200,198.793114
-82.070023,200,199.202312
-91.756137,200,202.636105
-84.619394,200,203.054775
-60.01095,200,203.455937
-84.891205,200,205.395314
-53.002345,200,205.802737
-54.96074,200,206.293025
-65.725746,200,206.752554
-104.239623,200,207.278775
9.213402,7,207.30106
9.26421,7,207.322302
-75.474803,200,207.839486
7.615881,14,207.862843
-62.815962,200,208.315486
