#{"t_start": 1779962335.729711, "env_id": "None"}
r,l,t
-136.113177,200,1.894013
-160.000016,200,2.359271
-119.494909,200,2.716902
-149.649954,200,3.155315
-122.418752,200,3.639833
-90.40189,200,3.98258
-151.102072,200,5.715898
-168.496542,200,6.218376
-148.460924,200,6.64974
-130.739706,200,7.134838
-168.644746,200,10.596169
-135.60433,200,10.998792
-156.193095,200,12.79168
-145.777739,200,13.215952
-89.281059,200,13.646069
-67.496318,99,13.823871
-129.276273,200,14.26591
-181.96927,200,14.795028
-160.215492,200,15.331687
-111.915248,200,20.080626
-161.955338,200,23.417376
-115.294881,200,23.913907
-139.955844,200,24.30153
-156.499587,200,24.64445
-123.75189,200,25.093475
-137.444627,200,27.262558
-157.616676,200,27.78197
-142.860575,200,28.211508
-114.23322,200,28.659293
-113.583078,200,28.987048
-142.976118,200,29.471688
-137.810879,200,34.252754
-174.975826,200,34.724002
9.624877,5,34.731164
-116.743207,200,35.114512
-121.281771,200,35.517398
-147.862185,200,35.974767
-124.162936,200,36.340332
-133.586318,200,38.281907
-166.26838,200,38.64836
-128.067525,200,39.089903
-137.175282,200,39.533164
-117.418769,200,42.994136
-198.222713,200,43.409461
-83.678802,156,43.826965
-108.647298,200,45.752933
-106.509514,200,46.164317
-132.48676,200,46.788507
-107.28322,200,47.326818
-123.511225,200,47.755292
-134.572978,200,48.336632
-166.617259,200,50.078789
-125.154369,200,56.318774
-139.617054,200,56.639382
-163.172997,200,57.06407
-128.656071,200,57.537194
-120.959424,200,58.075957
-144.29576,200,59.80798
-142.368533,200,60.297358
-132.556569,200,60.819834
-127.13583,200,61.403037
-123.684811,200,61.950413
-139.084463,200,62.309277
-182.104122,200,65.670519
-109.700196,200,67.671873
-110.552612,200,68.129658
-142.417339,200,68.588777
-134.123833,200,68.992865
-114.726819,200,69.466522
-118.787212,200,69.966825
-99.264309,200,71.721592
8.560629,9,71.73643
-97.470753,200,72.122568
-90.581991,200,72.571195
-171.730418,200,75.981693
-137.120483,200,76.470306
-126.816854,200,77.020832
-85.440615,200,79.225776
-121.680728,200,79.788873
-132.83168,200,80.244039
-111.054242,200,80.804172
-132.603371,200,81.307892
-127.33504,200,81.807584
-111.850426,200,83.828364
-123.881881,200,90.23035
-104.276432,200,90.705958
-81.194572,200,91.181087
-131.486893,200,91.611122
-119.4867,200,92.152144
-79.32559,200,92.670047
-134.135948,200,94.66587
-75.367107,200,95.086503
-100.271138,200,95.579711
-112.671915,200,96.087773
-81.068367,200,99.501696
-85.767166,200,99.897852
-119.499894,200,102.273246
-70.755175,200,102.873711
-117.004793,200,103.405182
-121.653968,200,103.898358
-96.719356,200,104.468229
-141.118722,200,105.097086
-79.321748,200,107.520272
-116.534094,200,107.934952
-90.819207,200,108.345501
-97.504653,200,111.7704
-69.426038,200,112.459268
-99.031633,200,112.913249
-117.512421,200,115.161431
-81.096575,200,115.626194
-92.026701,200,116.24789
-80.793647,200,116.773723
-101.147314,200,117.258636
-92.786706,200,117.68234
-101.761297,200,118.118052
-109.424707,200,126.173007
-63.597702,200,126.576472
-97.730861,200,126.983449
-70.262531,200,127.512903
-100.557809,200,127.971426
-71.027365,200,128.468071
-8.750984,47,128.578045
-120.842233,200,130.76454
-118.653362,200,131.273343
-90.288249,200,131.659076
-97.879216,200,132.042196
-41.554018,200,135.747829
-103.658233,200,136.333534
-100.186235,200,138.256586
-78.330426,200,138.851889
-72.102063,200,139.38726
-66.321728,200,139.981794
-106.239929,200,140.423029
-69.198793,200,140.868006
-105.953552,200,142.861967
-92.836464,200,143.378778
-109.063963,200,146.888284
-44.339529,200,147.436509
-79.428307,200,147.929131
-90.530102,200,148.3175
-96.982684,200,150.363885
-44.311524,200,150.791711
-70.505459,200,151.232844
-96.179121,200,151.737524
-78.993928,200,152.253257
-108.855146,200,152.709094
-5.086758,52,152.842292
-97.358457,200,160.883199
-99.703697,200,161.442291
9.26512,8,161.461195
-93.848468,200,161.923089
-71.560433,200,162.382195
-85.608276,200,162.832073
9.710736,4,162.838517
-80.440371,200,163.258991
-66.729754,200,163.698387
-69.975432,200,165.616729
-76.888283,200,166.011464
-70.718784,200,166.441898
-71.418137,200,169.780984
-62.277781,200,170.269366
-98.32131,200,170.710634
-68.650157,200,172.575701
-95.983965,200,173.049135
-67.754801,200,173.465854
-68.043665,200,173.953197
-110.293634,200,174.323794
-53.574351,200,174.846172
-90.875066,200,176.624812
-66.366845,200,180.158316
-52.291112,191,180.565578
-78.746075,200,181.034175
-35.303328,177,181.343486
-63.075236,200,181.782415
-115.061506,200,182.144982
-43.589725,200,184.257218
-83.676336,200,184.594138
-86.993188,200,184.970539
-72.255025,200,185.345942
-81.312731,200,185.81361
-64.636502,200,189.3288
-64.534966,200,191.105451
-66.51302,200,191.458812
-82.026427,200,191.936093
-66.28737,200,192.395956
-71.869083,200,195.815691
-47.027433,200,196.277114
-51.555577,200,198.015369
-4.688337,52,198.151515
-9.088736,93,198.365094
-70.33346,200,198.776048
3.480448,28,198.817603
-84.790927,200,202.252925
-55.1746,200,202.67186
-45.891432,200,203.084044
-53.001847,200,205.023253
-75.587227,200,205.436237
-44.52387,200,205.912136
-79.125208,200,206.37415
-67.142004,200,206.908926
-61.879578,200,207.424743
-72.762347,200,207.875763
