#{"t_start": 1779962335.5665643, "env_id": "None"}
r,l,t
-160.250187,200,2.056274
-172.793706,200,2.521362
-159.891745,200,2.879462
-177.614477,200,3.317791
-155.355968,200,3.802428
-133.173578,200,4.145215
-140.191358,200,5.878499
-176.581978,200,6.380834
-149.83905,200,6.812225
-146.264734,200,7.29675
-151.481607,200,10.758719
-164.673888,200,11.16135
-120.308744,200,12.953787
-117.186021,196,13.371223
-148.409535,200,13.801346
-150.434338,200,14.211616
-134.929823,200,14.681096
-115.218702,200,15.215702
-126.547118,200,19.970252
-129.602397,200,20.478145
-171.30419,200,23.853714
-152.507897,200,24.261783
-123.991878,200,24.632211
-137.008563,200,25.039276
-179.172257,200,25.479964
-117.086739,200,27.67288
-108.055869,200,28.127797
-106.099303,174,28.498794
-145.227482,200,28.939494
-97.994116,176,29.27038
-134.290787,200,32.629502
-147.69291,200,34.522528
-130.130744,200,34.959581
-119.912707,200,35.36024
-151.164088,200,35.767065
-121.423114,200,36.204847
-117.40525,200,36.60264
-96.699794,200,38.519959
-153.307461,200,38.874372
-139.578761,200,39.344836
-153.661254,200,39.784344
-122.657132,200,43.2608
-110.595653,200,43.726949
-79.091238,200,44.243572
-157.865718,200,46.067226
-136.534054,200,46.557535
-118.268889,200,47.198951
-126.021819,200,47.676251
-155.259665,200,48.17728
-96.6031,200,48.672586
-162.848807,200,50.384108
-101.18983,200,56.615184
-136.469308,200,56.936411
-93.819254,200,57.431944
-133.28018,200,57.968116
-129.251018,200,58.400992
-124.549568,200,60.207092
-150.21709,200,60.695101
-105.112201,200,61.185275
-116.641353,200,61.849968
-120.852649,200,62.269456
-153.600301,200,65.625696
-135.944517,200,67.52187
-166.702698,200,68.034557
-117.26891,200,68.489477
-119.227515,200,68.916518
-78.894771,200,69.346815
-114.748195,200,69.853604
-147.664324,200,70.342758
-129.976735,200,72.024706
-103.545443,200,72.469039
-104.692871,200,75.870591
-98.79939,200,76.334945
-141.339262,200,76.837717
-123.112626,200,77.351823
-96.392235,200,79.597129
-94.407764,200,80.145898
-105.358839,200,80.565046
-131.519542,200,81.167754
-109.14124,200,81.65846
-133.475758,200,82.132665
-132.886351,200,84.223346
-137.081676,200,90.596897
-107.893198,200,91.087345
-62.640907,200,91.477014
-40.650199,86,91.670345
-64.888001,200,92.183914
-118.532621,200,92.752105
-103.631972,200,94.731549
-119.09054,200,95.165906
-119.486778,200,95.650589
-101.687061,200,96.166905
-126.443748,200,96.673975
-89.056091,200,99.970661
-91.522093,200,102.345677
-88.618751,200,102.916517
-89.703646,200,103.495853
-148.827191,200,103.954322
-102.54099,200,104.491484
-93.481008,200,105.154649
-99.936521,200,107.603365
-102.086967,200,108.029417
-107.273656,200,108.428801
-72.081822,200,111.809691
-106.053162,200,112.511828
-121.38954,200,112.976182
-107.027116,200,113.506988
-69.464443,200,115.714197
-80.199779,200,116.312388
-100.164304,200,116.845257
-114.839211,200,117.3328
8.363215,13,117.365785
-36.193899,170,117.722799
-120.917114,200,118.172535
-54.825733,200,126.221256
-66.67685,200,126.648606
-91.370452,200,127.030366
-91.257412,200,127.531517
-113.360852,200,128.012087
9.432761,7,128.026359
-112.871449,200,128.515316
-108.575637,200,130.556608
-115.88476,200,131.228058
9.597588,5,131.23915
-90.014677,200,131.665789
-70.299832,200,132.030005
9.092916,8,132.044348
-53.839013,200,135.684974
-73.290577,200,136.292545
-63.967337,200,138.19896
-76.645621,200,138.762729
-116.610297,200,139.341323
-41.648144,200,139.937844
-90.736848,200,140.389543
3.678807,21,140.448754
-85.858441,200,140.906185
-48.603223,200,142.856485
-98.77913,200,143.394447
-56.474711,200,146.872397
-75.546052,200,147.391128
-66.95627,200,147.92192
-87.762553,200,148.363647
-80.681354,200,148.776592
-86.865289,200,150.83083
-97.538289,200,151.255354
-86.31325,200,151.739787
-46.050311,179,152.231606
-106.248227,200,152.69709
-89.444634,200,153.195173
-117.446537,200,161.219069
-81.37954,200,161.749162
-99.931867,200,162.203607
-87.363601,200,162.688421
-87.53676,200,163.133431
-47.9595,200,163.513
-56.315712,200,165.415333
-99.932626,200,165.910333
-78.827691,200,166.268441
-58.202153,200,166.694788
-51.698364,200,170.07727
7.955836,10,170.100781
-90.465408,200,170.584918
-50.010454,200,171.046713
-54.903914,200,172.894017
-57.020033,200,173.357721
-101.103634,200,173.793129
8.895986,10,173.828318
-89.235115,200,174.283266
-65.195038,200,174.660943
1.579233,38,174.746651
-82.608929,200,175.269625
-64.641311,200,177.037525
-67.243819,200,180.566717
-70.993854,200,181.052314
-78.650328,200,181.407181
-58.913312,200,181.842854
-63.096933,200,182.217743
-93.796595,200,184.311136
-77.525279,200,184.647206
-72.078403,200,185.009644
-92.629151,200,185.400626
-95.83802,200,185.840909
-77.737035,200,189.339739
-85.49709,200,191.172023
-72.674266,200,191.489946
-92.605127,200,191.932756
-71.742103,200,192.442202
-66.517515,200,195.829241
-51.856836,200,196.345213
-60.571674,200,198.06557
-75.829644,200,198.527771
-57.218911,200,198.938633
-42.212775,200,202.37398
-93.002777,200,202.79164
-70.256031,200,203.181164
-69.241784,200,203.642722
-3.420769,67,205.24862
-98.831759,200,205.71806
-78.047232,200,206.174768
-58.343433,200,206.633604
-56.956207,200,207.171705
-60.484951,200,207.678345
-81.988673,200,209.492527
