#{"t_start": 1779961019.5730336, "env_id": "None"}
r,l,t
-46.082349,200,1.754093
-61.213994,200,2.161701
-65.168877,200,2.587183
-98.454012,200,3.038539
-88.301195,200,3.507541
-87.684876,200,4.022879
-74.487447,200,5.894968
-69.710616,200,6.319384
-55.764315,200,6.731075
-91.303196,200,7.124975
-44.108613,200,15.79454
-25.994408,200,16.345152
-84.105308,200,18.328397
-88.09583,200,18.75942
-78.939644,200,19.252892
-53.202216,200,19.675038
-79.492812,200,20.042426
-75.343523,200,20.386629
-63.391101,200,22.22435
-73.033492,200,22.607826
-60.00363,200,25.921565
-81.734609,200,26.37832
-60.324326,200,26.837679
-50.157742,200,27.200797
-50.622195,200,27.628018
-56.409514,200,29.622925
-62.862698,200,30.006866
-81.449312,200,30.406785
-24.4883,200,30.790135
-51.542456,200,31.141267
-48.499888,200,34.474936
-48.572457,200,36.4375
-54.544067,200,36.838945
-23.805687,200,37.281708
-49.339288,200,37.808148
-86.728952,200,38.158515
-77.833652,200,38.573068
-57.384439,200,40.398093
-56.759557,200,40.846612
-57.8044,200,41.297162
-60.61305,200,44.711403
-83.250624,200,45.101714
-67.941317,200,45.522417
-68.521107,200,50.394017
-24.004938,200,50.864495
-57.066471,200,51.256227
-81.212547,200,51.763194
-83.925872,200,52.120757
-69.278803,200,52.63826
-43.652033,200,52.984756
-30.805155,200,54.860028
-75.565705,200,58.188984
-42.735087,200,58.656201
-33.630889,200,59.106722
-91.943456,200,59.60681
-59.952969,200,60.149818
-69.901421,200,62.164426
-77.822164,200,62.600477
-94.433473,200,63.00966
-65.202313,200,63.461454
-31.551947,200,63.939229
-52.926068,200,67.61895
-73.689641,200,69.731668
-60.667919,200,70.313959
-34.574451,200,70.769338
-82.681654,200,71.346103
-37.711225,200,71.74062
-54.122831,200,72.224031
-55.904742,200,74.400692
-53.120257,200,74.793749
-70.379341,200,75.364031
-44.309965,200,79.021713
-62.48484,200,79.474924
-67.032966,200,79.892126
-27.026244,200,80.321536
-52.038005,200,83.702144
-78.493764,200,84.187929
-49.784674,200,84.63518
-59.945085,200,85.125977
-67.194382,200,85.596735
-38.077276,200,85.987444
-40.425172,200,91.119436
-51.897915,200,91.555982
-25.230794,200,92.018713
-55.253323,200,92.458246
-51.871577,200,93.007453
-53.395364,200,93.36416
-58.845456,200,95.250909
-65.955537,200,95.718173
-29.485043,200,96.219294
-64.555634,200,96.711324
-48.799362,200,97.104656
-47.498328,200,100.59215
-45.648206,200,102.544856
-73.857464,200,103.040052
-63.092429,200,103.444461
-74.939876,200,103.887695
-49.157985,200,104.245742
-42.816446,200,104.639792
-38.812826,200,105.011417
-67.634861,200,106.816359
-59.096167,200,107.205091
-86.385487,200,110.598841
-72.981762,200,111.100988
-53.041372,200,111.467199
1.367682,122,111.681039
-30.332896,200,113.334704
-77.941385,200,113.776631
-44.867808,200,114.138557
-47.24722,200,114.556239
-39.270236,200,117.170312
-53.914371,200,117.635631
-70.918936,200,119.345341
-18.949624,200,122.832798
-80.166352,200,123.210398
-70.663284,200,123.615851
-3.923352,128,123.904215
-39.714301,200,124.350801
-19.231808,200,124.77876
-7.214017,172,126.420824
-59.133363,200,126.749428
-3.796532,121,127.032121
-67.748414,200,127.478319
-43.678253,200,127.881014
-1.171408,90,131.111701
-5.432718,112,131.302396
-7.808582,137,131.58181
-35.421201,200,133.148969
-9.409151,169,133.536231
-28.291325,200,133.979607
-56.616255,200,134.433399
-41.591023,200,134.807337
-51.881847,200,135.219924
-13.158679,140,135.570316
6.190353,49,135.654917
-71.735578,200,137.227437
-58.105615,200,140.657065
-37.975729,200,141.102269
-12.392747,168,141.505891
-61.662841,200,142.00376
-38.202859,200,142.429457
-0.541858,91,142.609022
9.68478,6,143.62279
-54.414457,200,144.015715
-24.034929,200,144.416024
4.780944,57,144.526885
-0.546418,106,144.841558
-35.982763,200,145.268213
-12.888835,150,145.62503
-42.044878,200,146.192686
-49.06533,200,153.776081
-34.01345,200,154.268398
-37.30061,200,154.660342
-35.941856,200,155.11482
-4.300259,122,155.376733
-42.659564,200,155.74551
-18.306006,200,156.20619
-60.814402,200,157.826818
-64.58307,200,158.27861
-51.994594,200,158.696259
-38.823194,200,162.027159
-43.392958,200,162.513218
-30.475999,200,162.922706
-62.538846,200,164.467895
3.062376,68,164.579485
-22.402423,186,164.98111
-0.521349,103,165.203636
3.07493,66,165.355409
-3.446245,110,165.538238
-15.009581,156,165.928381
-48.881588,200,166.355822
4.125936,54,166.470653
-49.91589,200,166.882279
-14.977832,196,168.299518
-17.657867,196,171.655402
-8.549335,121,171.934963
-36.333298,200,172.457576
-39.213014,200,172.88892
5.044929,56,172.984807
-17.436478,164,173.281859
-14.784925,150,174.575332
-4.039164,107,174.800797
-27.918279,186,175.211417
0.1632,72,175.334334
-1.37042,83,175.471892
1.254121,83,175.632477
-22.652558,171,175.938656
-11.123164,151,176.199032
-55.97276,200,179.644812
-18.318638,162,179.912479
0.800632,64,180.928073
-70.959,200,181.329303
2.644241,76,181.460044
-3.303801,96,181.704978
-0.053278,75,181.925953
-31.017215,194,182.348937
-9.282218,125,182.642779
-0.735012,83,182.868241
-8.49831,125,183.162436
-29.155811,181,183.573952
6.243713,48,183.726856
-15.913751,151,184.951192
-25.457962,200,185.278192
-16.933547,142,185.540013
-23.981822,168,188.783168
-0.971428,76,188.97083
1.093581,69,189.089479
-19.589607,158,189.49561
-1.771693,98,189.712711
9.96047,1,189.714431
-7.057724,124,190.03479
-7.59794,109,191.053239
1.144895,74,191.250152
-10.315332,122,191.562332
-65.983053,200,192.060751
-24.82613,167,192.384543
-24.801832,200,192.769096
-14.924531,137,193.05646
-27.176575,185,193.426934
-1.720934,85,193.574045
-21.192135,171,194.821683
8.107508,25,194.891093
