#{"t_start": 1779961019.3021, "env_id": "None"}
r,l,t
-53.471424,200,2.023468
-71.193945,200,2.430982
-43.558109,200,2.856449
-84.660045,200,3.308278
-34.945682,200,3.777178
-46.99929,200,4.292274
-47.402038,200,6.164871
-72.86446,200,6.587654
-85.408993,200,7.000152
-76.857624,200,7.394861
-40.2742,200,16.064304
-77.339314,200,16.614471
-44.5796,200,18.598255
-83.503621,200,19.028956
-81.664791,200,19.522288
-76.607766,200,19.945077
-50.904815,200,20.312438
-38.2286,200,20.656638
-31.781252,200,22.494142
-53.401862,200,22.877877
-68.950925,200,26.191231
-55.076483,200,26.648338
-80.796515,200,27.107636
-70.034923,200,27.470432
-80.449894,200,27.897998
-86.31992,200,29.892444
-64.294837,200,30.276886
-90.603746,200,30.676312
-83.375691,200,31.060107
-65.985905,200,31.410635
-61.645026,200,34.744522
-28.128901,200,36.707514
-44.404933,200,37.108961
-78.313415,200,37.551217
-58.264549,200,38.077568
-69.43687,200,38.428527
-79.772011,200,38.843081
-1.062112,127,40.544914
-51.15367,200,40.950069
-54.248737,200,41.376402
-58.796301,200,41.849045
-72.245506,200,45.189243
-61.378519,200,45.667324
-85.477146,200,49.055711
-86.728251,200,50.958361
-87.29527,200,51.362202
-60.881841,200,51.869957
-71.673486,200,52.257566
-57.254358,200,52.729688
-89.351697,200,53.130284
-75.105451,200,54.953008
-16.850685,200,58.324497
-45.349585,200,58.766294
-83.844992,200,59.209973
-54.377802,200,59.734459
-77.693835,200,60.219817
-30.584732,200,62.230302
4.653051,64,62.405061
-66.42174,200,62.838508
-37.488876,200,63.259287
-29.029026,200,63.707969
-63.939094,200,64.193582
-42.885088,200,67.873026
-32.109557,200,69.985394
-57.045918,200,70.554573
-77.205372,200,71.020447
-59.150087,200,71.600357
-57.296735,200,71.982958
-40.529442,200,72.474262
-60.885314,200,74.651223
-61.859309,200,75.044401
-71.40519,200,75.61779
-38.889959,200,79.2736
-39.565784,200,79.720764
-49.835902,200,80.144908
-34.090989,200,80.570094
-48.805766,200,83.94398
-64.699032,200,84.433687
-80.548152,200,84.883667
-95.726433,200,85.369026
-75.243926,200,85.839034
-41.709951,200,86.240976
-32.312421,200,91.371274
-44.538636,200,91.810318
-24.675073,200,92.268824
-60.816048,200,92.711315
-30.186488,200,93.253347
-76.887483,200,93.617471
-45.066843,200,95.50444
-27.003901,200,95.964588
-41.693342,200,96.460291
-36.827007,200,96.964561
-32.363851,200,97.3465
-31.729773,200,100.846675
9.899825,2,100.850176
-37.214535,200,102.796621
-62.119503,200,103.296221
-23.004022,200,103.702729
-84.946348,200,104.146415
-9.977099,136,104.390804
-77.728859,200,104.759272
-61.032662,200,105.146195
-38.561965,200,106.963643
-63.216956,200,107.358289
-30.576298,200,110.670765
-85.675109,200,111.23602
-67.175797,200,111.616832
-39.620045,200,111.962502
-58.332409,200,113.628613
-56.796675,200,114.05906
9.031601,15,114.083533
-41.988493,200,114.447616
-45.752148,200,114.879938
-5.318132,136,117.371503
-33.940856,200,117.783604
-67.297754,200,118.241826
-49.579327,200,123.036007
-50.979896,200,123.408387
-72.385251,200,123.799346
-28.475252,200,124.222003
-6.332558,132,124.53661
-72.319302,200,124.986832
-16.975703,200,126.669713
4.27799,63,126.777509
-34.002296,200,127.109306
-39.659522,200,127.632465
-69.05045,200,128.008374
-31.941745,200,131.449749
-37.201102,200,131.841275
-34.391348,200,133.397696
-59.36881,200,133.864927
-67.01434,200,134.297126
-41.258171,200,134.766087
-31.946432,200,135.120736
-53.411681,200,135.536969
-59.555327,200,137.123007
-59.014801,200,137.567595
-51.958689,200,140.999213
-18.448654,200,141.433008
-62.193566,200,141.931555
-12.300373,156,142.324924
-55.449918,200,142.743064
-7.910426,112,143.954043
-9.947205,173,144.303448
-9.098248,151,144.614634
-34.079206,200,145.108007
-41.569404,200,145.536755
-28.424177,200,146.047678
-47.719069,200,146.573594
-57.075782,200,154.150413
-2.486656,86,154.358905
-76.478081,200,154.784778
-5.093401,122,155.03615
-50.80658,200,155.489106
-10.10519,163,155.844559
-47.517357,200,156.227484
-10.109007,139,156.54848
-61.357235,200,158.200452
-37.215178,200,158.623439
-49.495629,200,159.080881
-50.332257,200,162.404262
-0.754285,105,162.666834
-62.309258,200,163.051828
-29.470596,200,164.608672
-13.567625,161,164.955304
-23.969964,200,165.38218
-45.504835,200,165.757244
-1.568361,85,165.920924
2.266523,66,166.107609
-20.617542,173,166.520142
-44.992052,200,166.924934
-15.814484,157,168.279849
9.316946,11,168.297386
1.416094,85,168.472213
-43.055445,200,171.811351
-11.02728,132,172.07604
-6.62111,119,172.424317
6.283,42,172.517415
3.485594,48,172.643957
0.331772,73,172.800049
-15.730014,151,173.143094
-9.587382,140,173.382923
-15.185744,163,173.682333
0.329392,102,174.900673
-4.645382,107,175.133215
-13.773717,140,175.430617
-10.327039,123,175.652377
-23.390957,176,175.978567
-6.545701,138,176.219157
-20.325516,169,176.50963
-18.848978,200,179.953744
-24.408556,163,181.137561
-0.804613,87,181.278878
5.977118,37,181.355533
5.569182,51,181.467032
6.449652,42,181.563309
-3.213781,99,181.732739
-11.330036,136,182.095568
