#{"t_start": 1779962549.014799, "env_id": "None"}
r,l,t
-145.756702,200,0.778933
9.702074,5,0.793016
-150.635727,200,1.341919
-152.19048,200,1.854048
-122.887017,200,2.284402
-174.463849,200,2.726301
-178.531347,200,3.2204
-138.442656,200,4.992876
-171.945561,200,5.473476
-162.456329,200,5.896909
-135.17023,200,6.366807
-125.420894,200,9.825393
-152.06213,200,10.254582
-138.246049,200,12.202883
-118.346952,200,12.647904
-134.49846,200,13.090635
-169.347482,200,13.577649
-129.025424,200,13.987433
-169.799307,200,14.359377
-47.654925,132,17.659143
-105.201355,200,19.542005
-159.948128,200,23.167202
-137.866417,200,23.609326
-138.941274,200,24.084516
-186.886392,200,24.492672
-105.21948,200,24.993359
-154.910822,200,27.919021
-106.852739,200,28.444959
-114.142157,200,28.867869
-130.555344,200,29.280154
-176.532101,200,29.718324
-164.327501,200,30.256814
-29.933774,90,33.424978
-157.098238,200,35.615786
-174.653557,200,36.117675
-168.358928,200,36.588102
-68.054437,167,37.085955
-150.647859,200,37.530623
-114.866046,200,38.094271
-118.54957,200,40.291123
-149.615562,200,40.745652
-126.732296,200,41.192173
-111.021634,200,44.686752
-104.155813,200,45.271519
-160.501833,200,45.727915
-119.688043,200,47.898979
-131.028327,200,48.434816
-139.4547,200,48.899561
-105.57174,200,49.344863
-149.958834,200,52.880881
-109.907317,200,53.379133
-94.541517,200,53.750728
-142.027902,200,56.010728
-155.638412,200,59.531257
-103.767592,200,59.989093
-95.310753,200,60.495352
-126.876779,200,61.040583
-120.566271,200,61.697476
-104.343864,200,63.811301
-94.250512,200,64.308498
-115.519601,200,64.796468
-108.943392,200,65.315126
6.27617,21,65.36425
-164.915676,200,65.881487
-158.50805,200,69.377018
-109.557281,200,71.391631
-122.764316,200,71.895488
-140.261447,200,72.39035
-109.385149,200,72.852987
-140.376495,200,73.359205
-144.618043,200,73.85858
-124.878084,200,75.943437
-105.015963,200,76.402951
-108.612104,200,76.83347
-82.101333,200,80.464725
-116.829395,200,80.820313
-60.709566,200,81.323142
-148.574183,200,83.271402
-15.247319,47,83.419809
-97.50462,200,83.940207
-107.67529,200,84.449939
-95.661292,200,84.889432
-148.080754,200,88.299148
-88.364048,200,88.800478
-102.712285,200,90.870043
-119.47528,200,94.368248
-137.580991,200,94.915544
-109.295311,200,95.486722
-97.154758,200,96.008622
-158.469404,200,96.513714
-107.823835,200,97.037541
-127.595664,200,99.032644
-111.403231,200,99.571367
-117.900286,200,100.143401
-142.846686,200,100.739661
-143.582942,200,104.240503
-124.53816,200,104.626408
-104.101583,200,106.422317
-67.138422,200,106.853384
-113.227548,200,107.27629
-82.684145,200,107.717017
-50.105414,200,108.14523
-84.955803,200,108.642604
-102.14661,200,110.453329
9.714677,4,110.459635
-76.042771,200,110.950284
-30.96744,101,111.240409
-41.31801,188,114.900362
-62.378589,200,115.562097
-95.732952,200,116.106574
-116.673751,200,116.576167
-65.842424,200,118.550929
-96.149312,200,119.17881
-73.502542,200,119.730874
-114.982256,200,123.233427
-104.658806,200,123.782555
-132.816182,200,124.381958
-64.664734,200,129.793433
-62.990246,200,130.523933
-87.483899,200,131.06588
-53.617592,200,131.538226
-73.489508,200,132.015396
-69.480959,200,132.52312
-75.332726,200,134.407896
9.171719,8,134.423942
-78.654056,200,134.970081
-93.913968,200,135.61571
-83.022936,200,136.143319
-85.296621,200,136.554448
-68.417682,200,140.427505
-52.654082,200,140.914047
-56.14493,200,142.951309
-66.805894,200,143.550305
-61.97117,200,144.029115
-55.668059,200,144.565457
-90.312907,200,145.065208
-82.591732,200,145.542433
-97.38099,200,147.348033
-95.020346,200,147.759209
-70.841254,200,151.47281
-75.198282,200,152.142741
-92.206243,200,152.752105
-96.371098,200,153.184327
-74.073193,200,154.982334
-64.854883,200,155.385937
-106.855211,200,158.79016
-104.00626,200,159.299825
-80.174616,200,159.918916
-70.468189,200,160.43075
-76.682536,200,165.61793
-109.682761,200,166.075534
-74.988192,200,166.525521
-81.569238,200,166.944816
-88.4905,200,167.306931
-66.906555,200,167.909222
-65.447083,200,168.513119
-72.769039,200,170.343871
-43.906748,200,170.777198
9.977229,1,170.782826
-56.748168,200,171.342522
-93.972778,200,174.974126
-74.891818,200,175.375883
-83.317571,200,175.812038
-72.688769,200,177.288424
-59.55511,200,177.628539
-49.890574,200,178.154323
-63.400902,200,178.735676
0.945041,23,178.774339
-62.649394,200,179.201348
4.957831,20,179.254982
-64.818208,200,179.791811
-80.07945,200,181.535514
-56.008643,200,185.137256
-66.371202,200,185.559263
-84.428507,200,186.109359
-12.047725,59,186.246327
-84.256687,200,186.756615
-24.950996,167,187.14554
-45.237716,142,188.803862
-4.839679,57,188.972602
-69.421125,200,189.491374
8.654038,13,189.513336
-51.119343,200,189.961542
-54.0681,200,190.379225
-43.209172,200,190.80727
-85.431676,200,197.255012
9.95313,1,197.256828
-49.880831,200,199.016956
4.480937,29,199.071618
3.249935,33,199.123569
-54.689032,200,199.530691
-60.595694,200,199.981964
-68.739819,200,200.344706
-69.558584,200,200.832869
3.272149,30,200.926171
-50.893525,200,201.432207
-46.219688,200,203.426091
-66.004813,200,203.865686
-54.631175,200,204.191563
-40.152396,200,207.690949
-52.383884,200,208.106429
-13.707343,118,208.337962
-61.551548,200,208.74457
-49.76273,200,210.513543
-32.004047,199,211.024269
-72.930673,200,211.541508
-48.868258,200,211.970053
-15.58218,127,212.217303
-56.844468,200,212.680247
-42.233916,200,214.516607
