#{"t_start": 1779962548.5328782, "env_id": "None"}
r,l,t
-144.954523,200,1.259021
-167.759631,200,1.810376
-121.253743,200,2.322428
-145.813863,200,2.74631
-180.274726,200,3.197923
-148.46192,200,3.689223
-158.843511,200,5.465054
-174.476116,200,5.943892
-133.378851,200,6.366124
-132.548347,200,6.833248
-180.62193,200,10.297734
-155.86215,200,10.725872
-117.148743,200,12.675701
-166.747578,200,13.116355
-8.262045,50,13.21685
-141.489569,200,13.668293
-125.49293,200,14.157037
-128.9635,200,14.557569
3.010286,23,14.603973
-127.517775,200,17.940779
-157.372108,200,19.87924
-153.401325,200,20.363294
-152.956961,200,23.944053
-99.91634,200,24.399715
-159.83533,200,24.862424
-112.06501,200,25.330349
-147.007245,200,28.143852
-104.110342,200,28.762258
-115.352889,200,29.222496
-130.454189,200,29.619151
-124.391292,200,30.079239
-108.955443,200,30.574081
-138.96993,200,35.688628
-166.202977,200,36.213935
-132.418707,200,36.692125
-132.285134,200,37.214767
-135.783694,200,37.742878
-163.438038,200,38.217131
-164.115228,200,38.776562
-123.915272,200,40.943271
-152.675967,200,41.411396
-163.160581,200,41.839496
-101.086851,200,45.415318
-125.590116,200,45.932236
-155.725573,200,46.400942
-162.691326,200,48.600321
-127.485253,200,49.068668
-125.030966,200,49.567119
-128.987122,200,50.023204
-124.784327,200,53.620752
-130.114487,200,54.009515
-165.21681,200,56.191344
-135.152129,200,59.73386
-117.773549,200,60.241261
-115.666721,200,60.630988
-125.140696,200,61.166981
-102.456291,200,61.82356
-123.277379,200,63.958228
-101.356149,200,64.517409
-123.940404,200,64.986287
-115.154779,200,65.499398
-99.154142,200,65.999475
-146.815945,200,66.509974
-111.921811,200,70.011504
-120.542696,200,71.995099
-128.356245,200,72.516257
-88.062271,200,72.995521
-115.849573,200,73.49448
-93.332322,200,73.950604
-116.516532,200,74.44581
-128.743284,200,76.561271
-134.073613,200,77.002198
-114.283046,200,77.450665
-117.48832,200,81.048802
-120.191001,200,81.414187
-135.547453,200,81.918641
-81.442931,200,83.931569
-90.069589,200,84.449258
-138.195084,200,84.96193
-101.754008,200,85.393374
-156.996944,200,88.81725
-118.643296,200,89.320898
-122.79197,200,91.378782
-151.336585,200,94.877755
-88.019381,200,95.428614
-80.125694,200,95.991742
-93.812973,200,96.520064
-119.708275,200,97.017086
-31.205937,95,97.256363
-91.843399,200,99.179526
-99.23217,200,99.825151
-94.259711,200,100.31267
-106.215485,200,100.948721
-74.893691,200,101.51585
-109.092018,200,104.937408
-107.216597,200,106.700967
-112.939326,200,107.135429
-100.031837,200,107.586332
-114.022956,200,108.008162
-125.24025,200,108.420043
-118.200301,200,108.868298
-88.635745,200,109.355117
-139.380907,200,111.207746
-108.034686,200,111.724082
-56.622272,200,115.427198
-96.094631,200,116.079017
-101.323593,200,116.627417
-53.820184,200,117.092984
-60.027143,200,119.067877
-93.858447,200,119.716969
-100.429723,200,120.237577
-82.487406,200,123.763667
-54.259089,200,124.300034
-92.755004,200,124.896369
-99.757268,200,130.32963
-61.690402,200,131.045244
-101.686546,200,131.582639
-116.455622,200,132.049233
-60.619694,200,132.518523
-101.486599,200,133.030712
-108.708807,200,134.915174
-100.425248,200,135.464268
-69.333395,200,136.11562
-100.951394,200,136.633193
-63.559365,200,137.044997
-75.013647,200,140.917808
-9.075635,81,141.134728
-92.248791,200,143.113866
-42.429444,189,143.6526
-77.796976,200,144.215047
-122.432258,200,144.706501
-14.23854,62,144.907571
-77.401954,200,145.373856
-78.714702,200,145.890796
-102.337748,200,147.698767
-81.042962,200,148.082172
9.956712,1,148.084138
-96.401956,200,151.798928
-86.96519,200,152.454952
-46.270751,200,153.04277
-113.631244,200,153.534564
4.582172,32,153.590895
-73.583987,200,155.395406
-101.350819,200,155.817232
-145.410902,200,159.179541
-28.260557,124,159.528858
-80.009369,200,160.075496
-93.410551,200,160.637348
-78.927139,200,161.123107
-68.430964,200,166.298778
-51.266327,200,166.745518
-86.116432,200,167.205664
7.948515,16,167.236964
-100.94366,200,167.631115
-61.290076,200,168.112666
-70.867815,200,168.746931
8.677618,9,168.767755
-64.068286,200,170.694044
-64.373919,200,171.099267
-100.202622,200,171.622968
-66.128509,200,172.064228
-56.786684,174,175.619218
-77.082736,200,176.036295
-77.631644,200,177.585783
7.140898,25,177.624841
-53.59095,200,177.964042
-40.443008,200,178.424044
-65.493676,200,178.964312
-15.990641,68,179.182607
-53.381382,200,179.603882
-3.782852,47,179.702613
-102.410928,200,180.250932
-30.29951,153,181.88905
-57.937655,200,182.338213
-77.61471,200,185.923027
-75.543848,200,186.433079
-75.282179,200,186.943604
-112.828643,200,187.474062
-38.001625,200,187.890896
-43.620619,200,189.763708
-69.36522,200,190.263329
-60.371194,200,190.653247
-60.866258,200,191.116192
-86.201303,200,191.458647
-47.077963,200,198.051115
-53.960694,200,199.703129
-44.05246,200,200.079893
-67.610837,200,200.534454
-41.454942,200,200.912017
-47.412904,200,201.433395
-54.110735,200,201.946517
-63.699486,200,203.927797
-63.538878,200,204.366092
-86.301267,200,204.699759
-58.818235,200,208.188807
6.90458,23,208.230618
-57.023957,200,208.681793
-19.350333,127,208.887469
-76.613935,200,209.342469
-87.606215,200,211.102855
-50.161605,182,211.555845
5.480394,20,211.608542
-2.372452,59,211.770235
-15.099812,94,212.018505
-83.466262,200,212.446827
-55.008962,200,212.814734
-13.149995,93,213.068212
-76.008716,200,213.561081
