#{"t_start": 1779962548.9308324, "env_id": "None"}
r,l,t
-168.284984,200,0.862606
-115.765656,200,1.414188
-153.099358,200,1.926064
-165.748117,200,2.350067
-131.057105,200,2.801244
-120.008408,200,3.292709
-159.793827,200,5.068057
-186.90558,200,5.547326
-181.860206,200,5.96976
-158.850222,200,6.436771
-104.692809,200,9.900817
-174.241188,200,10.329365
8.712588,11,10.348141
-135.787064,200,12.296208
-146.674125,200,12.745929
-164.71408,200,13.18563
-100.436554,200,13.672206
-135.7371,200,14.080513
-122.362282,200,14.459392
-144.784941,200,19.370258
-143.984116,200,19.789914
-124.423206,200,23.402076
-123.575729,200,23.843861
-114.61242,200,24.336736
-146.344222,200,24.769965
-134.709262,200,27.52706
-114.740855,200,28.211315
1.500104,25,28.268378
-117.894668,200,28.743329
-144.461641,200,29.125234
-142.152067,200,29.603562
-134.944112,200,30.064954
-32.166421,114,33.371657
-156.777397,200,35.492242
-107.241111,200,36.01781
-116.507056,200,36.438593
-129.940383,200,37.056664
-26.854751,80,37.24351
-138.831764,200,37.703212
-90.095038,200,38.269941
-107.220198,200,40.449601
-155.829568,200,40.907081
-143.237735,200,41.341998
-116.011507,200,44.877211
-154.22677,200,45.434659
-150.919682,200,45.879672
-142.04008,200,48.0721
-146.558575,200,48.581981
-125.580196,200,49.071078
-165.276903,200,49.505654
-117.662071,200,53.077962
-109.361286,200,53.537822
-127.646397,200,55.674833
-140.97307,200,56.204397
-95.087944,200,59.725869
-113.380644,200,60.14444
-103.629661,200,60.666945
-131.841484,200,61.262176
-119.699023,200,61.881751
-6.242238,41,63.555045
-148.469475,200,64.114913
-119.075638,200,64.582962
-114.101077,200,65.096776
-97.72188,200,65.597825
-115.949503,200,66.108129
-74.852757,200,69.610666
-125.320449,200,71.593896
-121.611199,200,72.115026
-91.531619,200,72.592172
-127.460997,200,73.091921
-127.343841,200,73.549664
-178.027486,200,74.043973
-145.655691,200,76.159732
-74.401895,200,76.600815
-146.340443,200,77.047265
-110.77265,200,80.647927
-124.114291,200,81.012047
-89.800703,200,81.51756
-162.908043,200,83.529394
-95.905037,200,84.046472
-66.821787,200,84.557965
-111.10371,200,84.990925
-5.395533,47,85.092949
-154.468377,200,88.519076
-110.661451,200,89.05531
-94.945407,200,91.101567
-89.778239,200,94.616772
-94.321114,200,95.162288
-120.788276,200,95.700496
-97.875203,200,96.264225
-102.799681,200,96.724975
-65.712019,200,98.621128
-64.620582,200,99.296461
-114.331821,200,99.778575
-146.524331,200,100.402934
-40.240842,180,100.922539
-88.908225,200,104.39618
-122.582856,200,104.774987
-84.516515,200,106.567836
-79.695991,200,107.015701
-94.694698,200,107.423203
-79.599756,200,107.879238
-75.770823,200,108.315378
-84.572368,173,108.746316
-101.377006,200,110.550949
-70.798333,200,111.047154
-109.537216,200,111.597147
-94.531309,200,115.411427
-84.979996,200,115.924483
-95.679609,200,116.453
-124.25552,200,118.349439
-97.585729,200,118.962685
-133.590787,200,119.652944
8.280919,12,119.674527
-55.423118,200,120.166468
-78.762298,200,123.650936
-114.67041,200,124.194468
-81.595327,200,124.873946
-98.56085,200,130.418222
-103.862556,200,130.978684
-67.971961,200,131.479887
-106.853302,200,131.923824
-74.774891,200,132.39524
-106.511676,200,132.846191
-76.096035,200,134.760151
-97.744232,200,135.487225
-109.078281,200,136.059015
-90.173081,200,136.461588
-90.164154,200,140.276331
-77.823986,200,140.797153
-85.979256,200,142.804752
-103.30696,200,143.412708
-96.303665,200,143.954365
-107.658298,200,144.464638
-109.81448,200,144.931022
-104.511151,200,145.446309
-69.785683,200,147.259846
-89.610602,200,147.652526
-34.922919,160,151.226818
-75.939691,200,151.852124
-68.056955,200,152.45151
-73.025864,200,153.02873
-96.768831,200,153.422777
-48.766994,200,155.222331
-13.663825,102,155.439282
-70.703628,200,158.812228
-53.395631,200,159.346499
-88.876722,200,159.948267
-89.620656,200,160.482511
4.679389,21,160.520562
-76.807467,200,165.710547
-100.932835,200,166.164197
-9.20861,81,166.330652
-85.271694,200,166.791994
-60.229707,200,167.188359
-72.935901,200,167.654362
-47.817035,200,168.256696
-97.380483,200,170.225778
-73.766258,200,170.638863
-91.83386,200,171.116406
-51.466225,167,171.510406
-101.420481,200,175.15278
-53.166079,200,175.53973
-55.546594,200,176.049572
-0.691436,37,177.177046
-95.339407,200,177.519187
-89.380615,200,177.965625
-96.769217,200,178.502931
-49.084859,141,178.866974
-76.135458,200,179.29401
-57.348296,200,179.843766
-77.01068,200,181.574612
-64.379602,200,185.19472
5.188999,23,185.23662
-74.051342,200,185.657107
-67.861158,200,186.20858
-57.967544,200,186.698142
-80.370147,200,187.197093
-95.347764,200,189.00135
-62.162268,200,189.542757
-85.006764,200,189.99132
-31.847677,148,190.297483
-85.285282,200,190.751745
-7.246735,86,190.897661
-85.128166,200,197.34543
-63.974888,200,199.106268
-58.376501,200,199.515425
-20.410518,102,199.687311
-50.130916,200,200.140679
-34.560839,200,200.518207
-49.598815,200,201.039284
-47.810309,200,201.553925
-46.222936,200,203.534917
-104.573853,200,203.971841
-59.331483,200,204.30606
-62.31389,200,207.794861
-28.774542,183,208.177831
-57.000696,200,208.551499
-30.854186,194,210.365158
-39.29313,200,210.784497
-27.077375,150,211.148927
8.64124,12,211.181865
-69.068918,200,211.723915
-71.940801,200,212.139634
-85.583355,200,212.498587
-73.036346,200,212.999747
7.22613,11,213.01713
-73.284989,200,214.815712
