#{"t_start": 1779962549.1514857, "env_id": "None"}
r,l,t
-147.761351,200,0.643233
-118.799671,200,1.194735
-157.611741,200,1.7063
-177.240059,200,2.131059
-162.326752,200,2.581365
-170.796893,200,3.073478
-137.646843,200,4.84831
-152.913539,200,5.328098
-144.58302,200,5.749895
-147.197381,200,6.216913
-146.235461,200,9.680903
-119.142853,200,10.10946
-168.288164,200,12.058679
-50.899791,72,12.19486
-126.1018,200,12.659861
-135.857877,200,13.112675
-153.107597,200,13.590425
-165.282559,200,13.98418
-112.231588,200,17.321087
-167.395915,200,19.259858
-146.89724,200,19.743572
-142.003672,200,23.324132
-118.798226,200,23.780203
-132.849785,200,24.242984
-130.487895,200,24.710919
-146.466308,200,27.523685
-97.269383,200,28.141667
-116.121344,200,28.60247
-147.523913,200,28.999639
-140.246586,200,29.459329
-152.29126,200,29.951439
-155.615432,200,35.069082
-127.77206,200,35.593992
-143.236557,200,36.072608
-141.876539,200,36.594215
-156.623667,200,37.123078
-110.452505,200,37.596832
-172.306487,200,38.157121
-146.559493,200,40.323714
-111.630788,200,40.791998
-180.120183,200,41.219799
-119.83963,200,44.795569
-52.776446,128,45.14645
-133.970854,200,45.606833
-147.538917,200,47.77685
-129.210982,200,48.308504
-91.300068,200,48.780346
-136.695815,200,49.220366
-145.855832,200,52.765731
-118.627583,200,53.257976
-21.997419,53,53.355146
-172.748627,200,55.514855
-113.200789,200,59.057149
-133.484534,200,59.580696
-105.841918,200,59.974049
-131.604949,200,60.496686
-118.790971,200,61.119545
-138.751427,200,63.276767
-134.806543,200,63.849803
-105.367468,200,64.315465
-127.318237,200,64.827024
-161.238152,200,65.330158
-105.765914,200,65.839674
-133.846038,200,69.340045
-154.016774,200,71.33516
-90.234738,200,71.858052
-103.355624,200,72.334305
-150.555365,200,72.818346
-117.676084,200,73.29918
-114.27357,200,73.790747
-145.12965,200,75.90126
-107.490275,200,76.348337
-155.56114,200,76.777983
-130.294897,200,80.396517
-118.009016,200,80.750421
-117.306595,200,81.257472
-139.809316,200,83.254647
-108.749875,200,83.774239
-89.680946,200,84.292675
-72.790998,200,84.728044
-119.926357,200,88.133926
-112.434308,200,88.632406
-116.256773,200,90.711161
-81.518011,200,94.205454
-104.288127,200,94.764142
-90.673601,200,95.331139
-76.521382,200,95.856848
-97.5048,200,96.359644
-83.728247,200,96.870595
-111.088473,200,98.870421
-116.977506,200,99.420058
-81.549291,200,99.971499
-132.698588,200,100.571618
-128.184804,200,104.089274
-98.943783,200,104.474782
-128.078447,200,106.268529
-109.589293,200,106.698533
-85.364022,200,107.124789
-104.494417,200,107.561035
-102.820606,200,107.990262
-102.53876,200,108.490051
-107.301263,200,110.302717
-114.710787,200,110.780832
-80.543015,200,111.327109
-105.252673,200,115.136989
-99.223637,200,115.666512
-82.052365,200,116.194357
-55.318552,200,118.06561
-166.059923,200,118.699085
-73.339597,200,119.377656
-85.512138,200,119.836176
-108.200625,200,123.344734
-40.012043,176,123.797882
-77.154054,200,124.502336
-107.764286,200,129.968023
-106.980061,200,130.612518
-63.6987,200,131.137278
-63.536326,200,131.578951
-37.74397,168,131.981101
-85.996028,200,132.4616
-114.165387,200,134.346438
-125.653873,200,134.934645
-20.701393,85,135.262896
-18.825006,109,135.57887
-93.254983,200,136.062756
-106.515163,200,139.785252
-23.081845,108,140.107705
-74.669106,200,140.602428
-103.5958,200,142.628639
-7.464325,91,142.879976
-88.260348,200,143.511813
-78.100414,200,143.968926
-87.414526,200,144.50405
-96.886321,200,144.983207
-61.118405,200,145.462296
-100.766675,200,147.262444
-86.639381,200,147.711137
-65.483592,200,151.437205
-99.314561,200,152.095844
-68.384502,200,152.699505
-79.263166,200,153.103186
-69.503802,200,154.90845
-55.228054,200,155.294031
-109.015219,200,158.720959
-47.02029,200,159.231072
-70.911138,200,159.845614
-133.844648,200,160.3454
-54.949235,200,165.541979
-68.572168,200,166.002245
-71.192796,200,166.431904
-83.604381,200,166.856729
-74.762042,200,167.247076
-77.870696,200,167.846114
-5.011981,77,168.116614
-2.228195,74,168.32018
-52.264988,200,170.172711
-6.565327,50,170.274979
-66.07161,200,170.719523
-62.348023,200,171.250178
-66.013343,200,174.888722
-61.805854,200,175.281845
-89.435039,200,175.751796
-60.483792,200,177.20035
-67.421474,200,177.58474
-94.159343,200,178.09786
-80.22001,200,178.644659
-69.193904,200,179.071682
-71.349349,200,179.619556
-47.936852,200,181.351336
-61.758601,200,184.972497
-79.872166,200,185.383083
-77.418962,200,185.938797
-8.61802,80,186.121133
-50.095552,200,186.635616
-70.827746,200,187.077592
-50.694486,200,188.928596
-57.116182,200,189.427932
-66.404549,200,189.878641
8.237586,13,189.909092
8.56545,16,189.933912
-64.304753,200,190.365542
-94.159518,200,190.759151
-49.299989,184,197.233593
-63.877669,200,198.948791
-63.8487,200,199.350518
-57.771562,200,199.800349
-57.940985,200,200.165077
-59.677024,200,200.619377
-60.89144,200,201.18002
-1.438123,75,201.345566
3.596675,25,201.407939
-64.858348,200,203.388182
5.378989,25,203.444836
-56.301765,200,203.839175
-49.064534,200,204.194379
-39.504855,200,207.670809
-46.928437,200,208.127023
-49.754077,200,208.529489
6.012509,26,208.575309
-39.404463,174,210.284853
-71.374215,200,210.775753
-30.296481,200,211.26534
-45.399742,200,211.724578
8.413618,10,211.741608
-68.09291,200,212.142233
-8.435293,100,212.361965
-30.044638,177,212.789013
-33.646913,200,214.581463
