#{"t_start": 1779754489.4877284, "env_id": "None"}
r,l,t
-46.677358,200,1.789677
-77.35595,200,2.312451
-87.185734,200,2.79576
-42.592326,200,3.233592
-57.197772,200,3.646124
-79.132772,200,4.008806
-83.87243,200,5.235853
-78.96634,200,5.700645
-77.42117,200,6.108507
-83.304325,200,6.452952
-56.178575,200,10.354696
-29.14968,200,10.772666
-79.245164,200,14.931247
-58.909153,200,15.349401
-73.058687,200,15.821064
-55.106493,200,16.282928
-64.756368,200,16.746972
-40.092164,200,17.194181
-71.512495,200,18.398831
-85.103173,200,18.88956
-70.21388,200,22.421973
-90.2227,200,22.863164
-48.127712,200,23.275518
-54.974809,200,23.67916
-47.444794,200,24.193021
-57.081708,200,25.333492
-86.012299,200,25.813827
-61.152362,200,26.213434
-33.818152,200,26.647326
-65.828702,200,27.103809
-62.525787,200,30.773142
-57.749271,200,31.936777
-59.172839,200,32.381126
-66.722393,200,32.852251
-53.242736,200,33.444239
-69.62212,200,33.905793
-50.24272,200,34.340311
-36.542442,200,35.5413
-57.784316,200,36.018478
-71.550625,200,36.382126
-72.683263,200,40.238921
-90.548506,200,40.738945
-87.420343,200,41.126033
9.950132,1,41.128113
-49.583713,200,42.325212
-65.509438,200,42.7625
-61.529279,200,43.22601
-88.476414,200,43.644285
6.384927,54,43.732064
-45.468547,200,44.14743
-101.973527,200,44.560844
-66.196827,200,45.878941
-25.544973,200,53.7824
-57.236047,200,54.359368
-81.814215,200,55.013975
-25.680661,200,55.548543
-80.955723,200,56.132251
-39.460643,200,57.38923
-80.440856,200,57.905977
-74.592419,200,58.407594
-79.200321,200,58.958912
-34.630878,200,59.406366
-67.769736,200,59.793862
-41.839704,200,63.536767
-41.814102,200,64.69649
-32.616339,200,65.210431
-52.305974,200,65.658493
-70.087071,200,66.054234
-21.710466,200,66.515708
-44.60671,200,66.978208
-53.957929,200,68.193884
-45.672944,200,68.717264
-42.881454,200,69.163051
-50.834332,200,72.965275
-75.501212,200,73.421817
-71.681564,200,73.881461
-41.445839,200,75.102334
-50.362076,200,75.602465
-29.173137,200,76.157721
-77.182368,200,76.77869
-44.897503,200,77.316773
-51.041204,200,77.756444
-53.867796,200,78.958352
-37.890171,200,86.257139
-34.611563,200,86.734545
-63.934874,200,87.268886
-69.057605,200,87.752618
-31.235829,200,88.238049
-79.32453,200,88.786219
-36.723504,200,89.965212
-42.763635,200,90.418657
-68.927922,200,90.935922
-57.901313,200,91.382413
-71.408015,200,95.48463
-44.000616,200,95.987381
-53.080205,200,97.294646
-68.676461,200,97.890514
-42.052535,200,98.403253
-26.377315,200,98.873252
-26.475011,200,99.417769
-68.458855,200,99.82293
-46.589646,200,101.058629
-40.042715,200,101.629329
-33.956494,200,102.080634
-21.515616,200,106.150298
-51.150329,200,106.667279
-41.150778,200,107.260237
-68.883276,200,108.395205
-41.544228,200,108.87518
-41.730671,200,109.316206
-79.529758,200,109.826617
-36.506121,200,110.271113
-50.624768,200,110.7709
-22.122036,200,111.224191
-1.731567,87,115.546413
-22.260013,200,116.111567
-26.500987,200,116.676862
-58.440207,200,117.29737
-53.197343,200,117.774244
-63.146414,200,121.284306
-30.168601,200,121.807772
-71.719177,200,122.987511
-10.040353,177,123.349154
-6.118243,139,123.622706
-30.476158,200,124.010082
-36.852808,200,127.687526
-34.702911,200,128.085965
-45.621389,200,129.230067
2.790506,68,129.409814
-1.518744,123,129.70927
-52.562101,200,130.088026
-79.321827,200,130.596457
-32.738042,200,131.166681
3.463308,84,131.332476
-56.807769,200,131.780594
3.821093,61,131.934214
-43.944635,200,132.808976
-50.351181,200,133.229134
-35.122495,200,136.81273
-46.719537,200,137.316074
-57.008894,200,137.77527
-44.336553,200,138.161346
-57.507791,200,139.196048
-5.142076,108,139.422431
-62.545818,200,139.846558
-68.255483,200,140.251513
-54.653705,200,140.643446
-4.952068,109,140.8926
-4.795507,114,141.158023
-68.501031,200,144.853055
-43.598265,200,145.881428
-11.534408,162,146.254296
-39.571203,200,146.675869
-37.764966,200,147.144377
-27.12243,200,147.628534
-5.302146,97,147.821098
-19.594227,200,148.245118
-42.476608,200,149.241302
-12.207417,145,149.549438
-34.130362,200,150.049157
-41.592668,200,156.718979
-11.729016,160,157.008366
3.784338,71,157.219886
-9.874424,144,157.535901
2.970517,75,157.744372
-5.053558,93,158.495177
-21.00224,175,158.870051
-0.271467,72,159.045117
-0.203227,96,159.249027
-6.233298,114,159.48747
-42.000404,200,159.972407
-37.508204,200,160.358199
-57.865275,200,160.789203
-24.564248,180,161.626457
-33.740915,200,162.057572
